name,age,net_worth_million_usd,industry,industries,country,self_made,gender
Haluk Bayraktar,47.0,2446.0,Technology,Technology,Turkey,False,M
T. Denny Sanford,90.0,2443.5,Finance & Investments,Finance & Investments,United States,True,M
Manuel Puig Rocha,64.0,2442.52,Fashion & Retail,Fashion & Retail,Spain,False,M
Cristiano Crippa,56.0,2441.03,Manufacturing,Manufacturing,Italy,False,M
Roberto Crippa,46.0,2441.03,Manufacturing,Manufacturing,Italy,False,M
Alexander Skorobogatko,58.0,2439.83,Logistics,Logistics,Russia,True,M
Brett Blundy,66.0,2438.51,Fashion & Retail,Fashion & Retail,Australia,True,M
Thomas Steyer,68.0,2436.1,Finance & Investments,Finance & Investments,United States,True,M
Huang Zelan & family,70.0,2435.27,Metals & Mining,Metals & Mining,China,True,M
Bennett Dorrance,80.0,2434.79,Food & Beverage,Food & Beverage,United States,False,M
Nicola Leibinger-Kammueller,66.0,2432.97,Manufacturing,Manufacturing,Germany,False,F
Peter Leibinger,59.0,2432.97,Manufacturing,Manufacturing,Germany,False,M
Regine Leibinger,63.0,2432.97,Manufacturing,Manufacturing,Germany,False,F
Rolf Gerling,71.0,2432.81,Finance & Investments,Finance & Investments,Germany,False,M
Alexandre Grendene Bartelle,76.0,2430.89,Fashion & Retail,Fashion & Retail,Brazil,True,M
Dong Jinggui,,2428.45,Automotive,Automotive,China,True,M
Kristo Käärmann,45.0,2426.45,Finance & Investments,Finance & Investments,Estonia,True,M
Paul Lee,68.0,2425.99,Manufacturing,Manufacturing,United States,True,M
Alexey Repik,46.0,2424.21,Healthcare,Healthcare,Russia,True,M
Florian Rehm,48.0,2423.46,Food & Beverage,Food & Beverage,Germany,False,M
Wang Wenjing,61.0,2421.39,Technology,Technology,China,True,M
Nan Cunhui,62.0,2419.72,Manufacturing,Manufacturing,China,True,M
David Teoh,70.0,2417.93,Telecom,Telecom,Australia,True,M
Reinfried Pohl Jr,66.0,2416.17,Finance & Investments,Finance & Investments,Germany,False,M
Adebayo Ogunlesi,72.0,2414.76,Finance & Investments,Finance & Investments,United States,True,M
John Stanton,70.0,2411.75,Telecom,Telecom,United States,True,M
Essam Al Muhaidib,67.0,2411.63,Diversified,Diversified,Saudi Arabia,False,M
