rank,person_name,gender,age,country,iso3,wb_country_name,state,city,net_worth_usd_m,net_worth_usd,source_of_wealth,industries,primary_industry,self_made,wealth_gdp_ratio_pct,wealth_per_citizen_usd,wealth_country_share_pct,sector_dominance_score,gdp_usd,population,gdp_year,forbes_uri,scrape_timestamp,birth_year
100,Lei Jun,M,56.0,China,CHN,China,Beijing,Beijing,24707.3,24707303000.0,"Smartphones, automobiles",Technology,Technology,True,0.131816,17.5357,1.1574,15.26,18743803170827.2,1408975000.0,2024.0,lei-jun,2026-04-10 21:32 UTC,1969.0
101,Stuart Hoegner,M,,Canada,CAN,Canada,Ontario,Toronto,24700.0,24700000000.0,Cryptocurrency,Finance & Investments,Finance & Investments,True,1.100891,598.2281,5.5656,22.88,2243636826633.76,41288599.0,2024.0,stuart-hoegner,2026-04-10 21:32 UTC,
102,Jay Y. Lee,M,57.0,South Korea,KOR,"Korea, Rep.",,Seoul,24563.79,24563789000.0,Samsung,Technology,Technology,False,1.309798,474.6528,15.0121,26.04,1875388209406.8,51751065.0,2024.0,jay-y-lee,2026-04-10 21:32 UTC,1968.0
103,Wang Chuanfu,M,60.0,China,CHN,China,,Shenzhen,24357.99,24357991000.0,"Batteries, automobiles",Automotive,Automotive,True,0.129952,17.2877,1.1411,15.26,18743803170827.2,1408975000.0,2024.0,wang-chuanfu,2026-04-10 21:32 UTC,1966.0
104,Gennady Timchenko,M,73.0,Russia,RUS,Russian Federation,,Moscow,24165.65,24165649000.0,"Oil, gas",Energy,Energy,True,1.111659,168.362,3.6989,17.19,2173835806671.66,143533851.0,2024.0,gennady-timchenko,2026-04-10 21:32 UTC,1952.0
105,Christy Walton,F,77.0,United States,USA,United States,Wyoming,Jackson,24108.43,24108431000.0,Walmart,Fashion & Retail,Fashion & Retail,False,0.083853,70.884,0.289,23.35,28750956130731.2,340110988.0,2024.0,christy-walton,2026-04-10 21:32 UTC,1949.0
106,Dilip Shanghvi,M,70.0,India,IND,India,,Mumbai,24099.98,24099981000.0,Pharmaceuticals,Healthcare,Healthcare,True,0.616385,16.61,2.4353,12.2,3909891533858.08,1450935791.0,2024.0,dilip-shanghvi,2026-04-10 21:32 UTC,1955.0
107,Daniel Gilbert,M,64.0,United States,USA,United States,Michigan,Franklin,24076.81,24076805000.0,Rocket Mortgage,Finance & Investments,Finance & Investments,True,0.083743,70.791,0.2886,23.35,28750956130731.2,340110988.0,2024.0,daniel-gilbert,2026-04-10 21:32 UTC,1962.0
108,Prajogo Pangestu,M,81.0,Indonesia,IDN,Indonesia,,Jakarta,23834.81,23834811000.0,"Petrochemicals, energy",Diversified,Diversified,True,1.706998,84.077,14.0148,21.42,1396300098190.97,283487931.0,2024.0,prajogo-pangestu,2026-04-10 21:32 UTC,1944.0
109,David Tepper,M,68.0,United States,USA,United States,Florida,Palm Beach,23687.0,23687000000.0,Hedge funds,Finance & Investments,Finance & Investments,True,0.082387,69.6449,0.2839,23.35,28750956130731.2,340110988.0,2024.0,david-tepper,2026-04-10 21:32 UTC,1957.0
