name,age,net_worth_million_usd,industries,country,self_made,gender
Tom Ford,64,2522.74,Fashion & Retail,United States,True,M
Roger Wang,77,2522.6,Fashion & Retail,United States,True,M
Park Soon-jae,71,2522.21,Healthcare,South Korea,True,M
Dwight Schar,84,2521.5,Construction & Engineering,United States,True,M
Chin Jong Hwa,67,2520.82,Automotive,Taiwan,True,M
Mario Germano Giuliani,54,2520.55,Healthcare,Switzerland,False,M
Anthony Wood,60,2518.01,Technology,United States,True,M
Alexander Frolov,61,2517.79,Metals & Mining,Russia,True,M
Gurbachan Singh Dhingra,76,2515.89,Manufacturing,India,True,M
Kuldip Singh Dhingra,78,2515.89,Manufacturing,India,True,M
Zhang Yuqiang,70,2515.73,Manufacturing,China,True,M
Mehmet Sinan & Family Tara,67,2515.35,Construction & Engineering,Turkey,False,M
Richard Chang,79,2514.62,Manufacturing,Hong Kong,True,M
Liu Fangyi,65,2513.13,Healthcare,China,True,M
Luis Enrique Yarur Rey,75,2512.72,Finance & Investments,Chile,False,M
John Elkann,50,2512.27,Finance & Investments,Italy,False,M
Katharina Otto-Bernstein,62,2508.71,Real Estate,Germany,False,F
Zhu Gongshan & family,68,2507.33,Manufacturing,China,True,M
Sun Shoukuan,76,2507.05,Manufacturing,China,True,M
Hussain Binghatti Aljbori,69,2506.94,Real Estate,United Arab Emirates,True,M
Fan Daidi,60,2501.27,Fashion & Retail,China,True,F
Katharina Andresen,30,2500.81,Diversified,Norway,False,F
Frank Slootman,67,2500.68,Technology,United States,True,M
Bret Taylor,45,2500.0,Technology,United States,True,M
Clay Bavor,43,2500.0,Technology,United States,True,M
Henry Davis,75,2499.0,Food & Beverage,United States,False,M
Mi Enhua,68,2497.32,Fashion & Retail,China,True,M
Or Wai Sheun,74,2493.75,Real Estate,Hong Kong,True,M
Oei Hong Leong,78,2492.72,Finance & Investments,Singapore,False,M
Wu Yiling,76,2489.37,Healthcare,China,True,M
Igor Rotenberg,52,2486.47,Diversified,Russia,True,M
Devi Shetty,73,2485.55,Healthcare,India,True,M
Marianna Latsis & family,73,2482.34,Diversified,Greece,False,F
Michael Polsky,77,2479.0,Energy,United States,True,M
Wesley Edens,64,2478.45,Finance & Investments,United States,True,M
Cai Jianyong,55,2474.08,Metals & Mining,China,True,M
Chen Tei-fu,78,2472.0,Fashion & Retail,Taiwan,True,M
Yvonne Bauer,49,2470.9,Media & Entertainment,Germany,False,F
Kenneth Feld & family,77,2470.37,Media & Entertainment,United States,False,M
Henry Sy Jr,72,2469.2,Diversified,Philippines,False,M
Walter P.J. Droege,73,2464.78,Finance & Investments,Germany,True,M
Arne Alexander Wilhelmsen,61,2461.71,Diversified,Norway,False,M
Bent Wilhelmsen,66,2461.71,Diversified,Norway,False,M
Peter Preben Wilhelmsen,64,2461.71,Diversified,Norway,False,M
Jim Crane,72,2458.59,Sports,United States,True,M
Charles Bronfman,94,2458.5,Food & Beverage,Canada,False,M
Zhang Fan,60,2458.22,Technology,China,True,M
Pierre van der Mersch & family,91,2457.74,Finance & Investments,Belgium,True,M
Zeng Chaolin,43,2457.31,Metals & Mining,China,False,M
Alexandra Andresen,29,2457.23,Diversified,Norway,False,F
Wang Kunxiao,56,2457.05,Manufacturing,China,True,M
Sergei Gordeev,53,2455.41,Real Estate,Russia,True,M
Jian Yao,65,2454.73,Healthcare,China,False,F
Egon Durban,52,2454.0,Finance & Investments,United States,True,M
Greg Mondre,51,2454.0,Finance & Investments,United States,True,M
Kenneth Hao,57,2454.0,Finance & Investments,United States,True,M
Alec Gores,73,2453.11,Finance & Investments,United States,True,M
Mike Repole,57,2451.64,Food & Beverage,United States,True,M
Ren Jinsheng & family,63,2451.06,Healthcare,China,True,M
Nicola Bulgari,85,2450.17,Fashion & Retail,Italy,False,M
Wee Ee Lim,64,2446.42,Finance & Investments,Singapore,False,M
Riaz Valani,49,2446.3,Finance & Investments,United States,True,M
Haluk Bayraktar,47,2446.0,Technology,Turkey,False,M
T. Denny Sanford,90,2443.5,Finance & Investments,United States,True,M
Manuel Puig Rocha,64,2442.52,Fashion & Retail,Spain,False,M
Cristiano Crippa,56,2441.03,Manufacturing,Italy,False,M
Roberto Crippa,46,2441.03,Manufacturing,Italy,False,M
Alexander Skorobogatko,58,2439.83,Logistics,Russia,True,M
Brett Blundy,66,2438.51,Fashion & Retail,Australia,True,M
Thomas Steyer,68,2436.1,Finance & Investments,United States,True,M
Huang Zelan & family,70,2435.27,Metals & Mining,China,True,M
Bennett Dorrance,80,2434.79,Food & Beverage,United States,False,M
Nicola Leibinger-Kammueller,66,2432.97,Manufacturing,Germany,False,F
Peter Leibinger,59,2432.97,Manufacturing,Germany,False,M
Regine Leibinger,63,2432.97,Manufacturing,Germany,False,F
Rolf Gerling,71,2432.81,Finance & Investments,Germany,False,M
Alexandre Grendene Bartelle,76,2430.89,Fashion & Retail,Brazil,True,M
Dong Jinggui,65,2428.45,Automotive,China,True,M
Kristo Käärmann,45,2426.45,Finance & Investments,Estonia,True,M
Paul Lee,68,2425.99,Manufacturing,United States,True,M
Alexey Repik,46,2424.21,Healthcare,Russia,True,M
Florian Rehm,48,2423.46,Food & Beverage,Germany,False,M
Wang Wenjing,61,2421.39,Technology,China,True,M
Nan Cunhui,62,2419.72,Manufacturing,China,True,M
David Teoh,70,2417.93,Telecom,Australia,True,M
Reinfried Pohl Jr,66,2416.17,Finance & Investments,Germany,False,M
Adebayo Ogunlesi,72,2414.76,Finance & Investments,United States,True,M
John Stanton,70,2411.75,Telecom,United States,True,M
Essam Al Muhaidib,67,2411.63,Diversified,Saudi Arabia,False,M
Sulaiman Al Muhaidib,71,2411.63,Diversified,Saudi Arabia,False,M
James Dinan,66,2409.0,Finance & Investments,United States,True,M
Jannie Mouton & family,79,2408.54,Finance & Investments,South Africa,True,M
Chu Lam Yiu,56,2408.39,Manufacturing,Hong Kong,True,F
Ioannis Papalekas,49,2404.65,Real Estate,Greece,True,M
Mika Anttonen,59,2392.11,Energy,Finland,True,M
Shlomo Kramer,60,2391.0,Technology,Israel,True,M
David Dean Halbert,70,2389.62,Healthcare,United States,True,M
Zygmunt Solorz & family,69,2385.62,Media & Entertainment,Poland,True,M
Madeleine Grogg,65,2385.22,Healthcare,Switzerland,False,F
Koo Bon-neung,77,2382.74,Technology,South Korea,False,M
Yoo Jung-hyun,57,2378.14,Media & Entertainment,South Korea,False,F
Zhou Hongyi,55,2377.29,Technology,China,True,M
John de Mol,71,2377.01,Media & Entertainment,Netherlands,True,M
Steven Schonfeld,66,2377.0,Finance & Investments,United States,True,M
Bhadresh Shah,74,2376.55,Manufacturing,India,True,M
Wang Jianfeng & family,65,2375.16,Automotive,China,True,M
Kie Chie Wong,78,2373.72,Metals & Mining,Malaysia,False,M
Renato dos Santos,48,2373.42,Finance & Investments,Brazil,True,M
Sylvia Stroeher,70,2373.0,Fashion & Retail,Germany,False,F
Song Chi-hyung,47,2371.93,Finance & Investments,South Korea,True,M
Ma Bin & family,55,2369.94,Manufacturing,China,True,M
Hans Jakob Limbach,78,2369.71,Healthcare,Germany,True,M
Gao Xingjiang,62,2364.82,Manufacturing,China,True,M
Fred Ehrsam,37,2360.7,Finance & Investments,United States,True,M
Shi Yonghong & family,57,2356.13,Food & Beverage,China,True,M
F.C. Tseng,65,2354.8,Technology,Taiwan,True,M
Wei Huang,66,2354.49,Real Estate,China,True,M
Igor Makarov,64,2351.95,Energy,Cyprus,True,M
Rishad Naoroji,74,2351.94,Diversified,India,False,M
Steve Case,67,2350.89,Technology,United States,True,M
Manuel Villar,76,2348.89,Real Estate,Philippines,True,M
Michael Ying,76,2348.44,Fashion & Retail,Hong Kong,True,M
Lee Dong-chae,66,2347.4,Manufacturing,South Korea,True,M
Joe Lacob,70,2344.0,Sports,United States,True,M
Cho Jyh-jer,70,2343.42,Technology,Taiwan,True,M
Enrique Coppel Luken,78,2336.63,Fashion & Retail,Mexico,False,M
Du Jinhao,72,2336.54,Healthcare,China,True,M
Christopher Kwok,40,2333.98,Real Estate,Hong Kong,False,M
Christiane Knauf,54,2331.15,Manufacturing,Germany,False,F
Christine Knauf,70,2331.15,Construction & Engineering,Germany,False,F
Karl Knauf,69,2331.15,Manufacturing,Germany,False,M
Edward Kwok,45,2330.8,Real Estate,Hong Kong,False,M
Todd Wagner,65,2330.73,Media & Entertainment,United States,True,M
Leslie Alexander,82,2329.42,Sports,United States,True,M
Wei Ing-Chou,72,2328.65,Food & Beverage,Taiwan,True,M
Wei Yin-Chun,69,2328.65,Food & Beverage,Taiwan,True,M
Wei Yin-Heng,67,2328.65,Food & Beverage,Taiwan,True,M
Wei Ying-Chiao,71,2328.65,Food & Beverage,Taiwan,True,M
David Fong,68,2326.0,Real Estate,Hong Kong,False,M
Daniel Lubetzky,57,2324.0,Food & Beverage,United States,True,M
Dermot Desmond,75,2321.75,Finance & Investments,Ireland,True,M
Ke Zunhong & family,71,2320.56,Healthcare,China,True,M
Wu Lanlan & family,52,2320.51,Manufacturing,China,True,F
Nerio Alessandri,65,2319.68,Manufacturing,Italy,True,M
Steven Witkoff & family,69,2319.38,Real Estate,United States,True,M
Acharya Balkrishna,53,2318.83,Food & Beverage,India,True,M
Kevin Systrom,42,2318.78,Technology,United States,True,M
Abhay Soi,52,2318.58,Healthcare,India,True,M
Ion Tiriac,86,2317.61,Finance & Investments,Romania,True,M
Guo Guangchang,59,2317.52,Diversified,China,True,M
Sheryl Sandberg,56,2314.1,Technology,United States,True,F
Bent Jensen & Family,74,2313.4,Manufacturing,Denmark,False,M
Vivek Ramaswamy,40,2313.22,Healthcare,United States,True,M
Sanjeev Bikhchandani,62,2312.67,Technology,India,True,M
Thomas Dundon,54,2310.0,Sports,United States,True,M
Carlos March Delgado,80,2309.43,Finance & Investments,Spain,False,M
Bill Malhotra,76,2307.88,Real Estate,Canada,True,M
Edward Lampert,63,2307.83,Finance & Investments,United States,True,M
Alexander Ponomarenko,61,2307.83,Logistics,Russia,True,M
Shu Ping,65,2305.28,Food & Beverage,Singapore,True,F
Li Gaiteng,54,2304.69,Manufacturing,China,True,M
Sunil Vachani,57,2303.34,Manufacturing,India,True,M
Salil Singhal,78,2303.1,Manufacturing,India,False,M
Phillip Frost,89,2301.38,Healthcare,United States,True,M
Fiona Geminder,61,2300.81,Manufacturing,Australia,False,F
David Grain,63,2300.0,Finance & Investments,United States,True,M
Luciano Hang,63,2294.83,Fashion & Retail,Brazil,True,M
Brian Hill,65,2294.81,Fashion & Retail,Canada,True,M
Rafique Malik,75,2292.89,Fashion & Retail,India,False,M
Dong Wei,55,2292.11,Healthcare,China,True,M
Phongthep Chiaravanont,74,2291.8,Diversified,Thailand,False,M
Heikki Kyostila,80,2291.66,Healthcare,Finland,True,M
David Paul,59,2291.39,Healthcare,United States,True,M
Bob Ell,81,2290.13,Real Estate,Australia,True,M
Jerry Reinsdorf,90,2290.0,Sports,United States,True,M
Rita Tong Liu,77,2288.05,Real Estate,Hong Kong,True,F
Sergei Sudarikov,54,2287.06,Finance & Investments,Russia,True,M
Liang Qin & family,54,2286.54,Technology,China,True,F
Li Zhiyuan,71,2285.19,Manufacturing,China,True,M
Christopher Rokos,55,2285.0,Finance & Investments,United Kingdom,True,M
Yusuf Hamied,89,2284.8,Healthcare,India,False,M
Joaquin del Pino y Calvo-Sotelo,65,2283.77,Construction & Engineering,Spain,False,M
Daniel Hirschfeld,84,2283.25,Fashion & Retail,United States,False,M
David Adelman,54,2282.0,Real Estate,United States,True,M
Matthew Pritzker,43,2280.45,Diversified,United States,False,M
Ami Luttwak,42,2280.0,Technology,Israel,True,M
Assaf Rappaport,42,2280.0,Technology,Israel,True,M
Roy Reznik,37,2280.0,Technology,Israel,True,M
Yinon Costica,43,2280.0,Technology,Israel,True,M
Shigenobu Nagamori,81,2279.55,Manufacturing,Japan,True,M
Chung Yong-jin,57,2277.33,Fashion & Retail,South Korea,False,M
Jyoti Bansal,48,2277.0,Technology,United States,True,M
Stefan Soloviev,50,2274.5,Real Estate,United States,False,M
Edwin Leong,74,2274.38,Real Estate,Hong Kong,True,M
Arnout Schuijff,58,2272.81,Technology,Netherlands,True,M
Ji Wei & family,69,2272.72,Manufacturing,China,True,M
Ho Hung Anh,55,2272.61,Finance & Investments,Vietnam,True,M
Manas Chiaravanond,70,2270.96,Diversified,Thailand,False,M
Fan Xiulian,62,2270.77,Healthcare,China,True,F
Bahaa Hariri,60,2270.53,Real Estate,Lebanon,False,M
Somsri Lamsam,70,2270.37,Diversified,Thailand,False,F
Basudeo Singh,85,2269.18,Healthcare,India,True,M
Jupally Rameshwar Rao,70,2267.21,Real Estate,India,True,M
Gu Wei,61,2262.67,Manufacturing,China,True,M
Ron Sim,67,2262.61,Fashion & Retail,Singapore,True,M
Akio Nitori,82,2260.09,Fashion & Retail,Japan,True,M
Leonard Abess,77,2259.91,Finance & Investments,United States,False,M
Sabrina Benetton,52,2259.6,Fashion & Retail,Italy,False,F
Liu Chengyu & family,63,2256.63,Manufacturing,China,True,M
Huang Jiangji,65,2255.9,Technology,Hong Kong,True,M
Inder Jaisinghani,73,2254.56,Manufacturing,India,True,M
Xiang Guangming & family,62,2254.05,Manufacturing,China,True,M
Marcelo Claure,55,2252.62,Telecom,United States,True,M
Alicia Koplowitz,72,2251.2,Finance & Investments,Spain,False,F
Prathip Chiravanond,77,2250.2,Diversified,Thailand,False,M
Wong Luen Hei,64,2248.28,Manufacturing,China,True,M
Ed Craven,30,2246.29,Gambling & Casinos,Australia,True,M
Christian Birkenstock,53,2245.77,Fashion & Retail,Germany,False,M
Constantinos Martinos & family,73,2245.18,Logistics,Greece,True,M
Ryan Horton,53,2244.72,Real Estate,United States,False,M
Katsumi Tada,80,2242.89,Real Estate,Japan,True,M
Clayton Zekelman,57,2242.0,Manufacturing,Canada,False,M
Drorit Wertheim,70,2241.73,Food & Beverage,Israel,False,F
Cynthia Helena Grossman Fleishman,71,2239.68,Food & Beverage,Mexico,False,F
Ajay Bhardwaj,65,2239.45,Healthcare,India,True,M
Reagan Horton,50,2239.29,Real Estate,United States,False,M
Xue Jiping,75,2235.49,Telecom,China,True,M
Charles Edelstenne & family,88,2235.44,Manufacturing,France,True,M
Djoko Susanto,76,2234.09,Fashion & Retail,Indonesia,True,M
Tibor Veres,64,2233.9,Diversified,Hungary,True,M
Abdullah Al Othaim,69,2231.52,Fashion & Retail,Saudi Arabia,False,M
Sergei Studennikov & family,59,2230.23,Fashion & Retail,Russia,True,M
Karin Sartorius-Herbst,83,2229.99,Healthcare,Germany,False,F
Irving Grousbeck & family,91,2229.0,Sports,United States,True,M
Noam Gottesman,64,2228.99,Finance & Investments,United States,True,M
K. Dinesh,71,2227.96,Technology,India,True,M
Helena Dassault,36,2225.74,Diversified,France,False,F
Remi Dassault,25,2225.74,Diversified,France,False,M
Paul Saville,70,2224.15,Real Estate,United States,True,M
Jim Thompson & family,86,2223.23,Logistics,Ireland,True,M
Cheng Yixiao,42,2222.72,Media & Entertainment,China,True,M
Benjamin Otto,50,2222.48,Fashion & Retail,Germany,False,M
Ales Zavoral,49,2220.24,Fashion & Retail,Czech Republic,True,M
Zhu Yiming,53,2219.79,Technology,China,True,M
Jerry Speyer & family,85,2219.31,Real Estate,United States,True,M
Zhang Bangxin,46,2218.7,Service,China,True,M
Howard Marks,80,2215.88,Finance & Investments,United States,True,M
Gordon Wu,90,2215.64,Real Estate,Hong Kong,True,M
Dennis Gillings,82,2214.99,Healthcare,United Kingdom,True,M
Chen Jinxia,58,2213.61,Finance & Investments,China,False,F
Jason Murray,47,2211.78,Healthcare,United States,True,M
Pawel Marchewka,53,2211.11,Technology,Poland,True,M
Juan March Delgado,86,2206.24,Finance & Investments,Spain,False,M
Liu Weiping,47,2205.17,Food & Beverage,China,True,M
Mark Hancock,50,2204.32,Healthcare,United States,True,M
Roberto Hernandez Ramirez,84,2203.1,Finance & Investments,Mexico,True,M
Beda Diethelm,85,2200.46,Healthcare,Switzerland,True,M
Adarsh Hiremath,23,2200.0,Technology,United States,True,M
Brendan Foody,23,2200.0,Technology,United States,True,M
Liang Rubo,43,2200.0,Technology,China,True,M
Surya Midha,22,2200.0,Technology,United States,True,M
Vlad Yatsenko,42,2200.0,Finance & Investments,Ukraine,True,M
Natacha Nikolajevic,59,2196.63,Diversified,France,False,F
Bijan Tehrani,32,2195.72,Gambling & Casinos,United States,True,M
Laurie Tisch,75,2195.7,Diversified,United States,False,F
Steven Tisch,77,2195.7,Diversified,United States,False,M
Hermanto Tanoko,63,2193.46,Manufacturing,Indonesia,False,M
Vivek Chand Burman,89,2189.14,Food & Beverage,India,False,M
John Armitage,66,2189.0,Finance & Investments,Ireland,True,M
Bill Austin,84,2187.89,Manufacturing,United States,True,M
Dan Wilks,69,2187.36,Energy,United States,True,M
Ramesh Jaisinghani,69,2185.25,Manufacturing,India,False,M
Linda Pritzker,72,2184.2,Service,United States,False,F
Ajay Jaisinghani,74,2182.3,Manufacturing,India,False,M
Mao Geping & family,62,2181.26,Fashion & Retail,China,True,M
Chen Qixing,66,2181.11,Technology,China,True,M
Strive Masiyiwa,65,2178.85,Telecom,Zimbabwe,True,M
Mario Gabelli,84,2178.64,Finance & Investments,United States,True,M
Karl Scheufele III & family,87,2177.58,Fashion & Retail,Switzerland,True,M
Jerry Moyes & family,82,2176.6,Logistics,United States,True,M
Heikki Herlin,39,2176.43,Manufacturing,Finland,False,M
Kishore Jain,62,2175.82,Fashion & Retail,India,False,M
Jiang Yintai & family,75,2174.67,Automotive,China,True,M
Marc Lasry,65,2174.55,Finance & Investments,United States,True,M
Alberto Bombassei,85,2174.08,Automotive,Italy,False,M
Rubens Menin Teixeira de Souza,70,2172.99,Diversified,Brazil,True,M
Li Zhongchu,62,2172.29,Technology,China,True,M
Dragos Paval,59,2171.07,Fashion & Retail,Romania,True,M
Ruan Shuilong & family,90,2170.39,Manufacturing,China,True,M
Domenico Dolce,67,2170.08,Fashion & Retail,Italy,True,M
Stefano Gabbana,63,2170.07,Fashion & Retail,Italy,True,M
Sandor Csanyi,73,2167.23,Diversified,Hungary,True,M
Chen Shibin,59,2165.74,Manufacturing,China,True,M
Larry Robbins,56,2164.0,Finance & Investments,United States,True,M
Jian Jun,62,2163.12,Healthcare,China,True,F
Alexandra Burt,52,2162.57,Metals & Mining,Australia,False,F
Julio Bozano,90,2159.97,Finance & Investments,Brazil,True,M
Lyu Yixiong,63,2157.36,Fashion & Retail,China,True,M
Bruce Toll,83,2156.75,Real Estate,United States,True,M
Jaroslav Hascak & family,56,2156.15,Finance & Investments,Slovakia,True,M
Wilma Tisch,98,2155.36,Diversified,United States,False,F
Li Jianquan & family,69,2155.32,Healthcare,Hong Kong,True,M
Kabir Mulchandani,53,2154.39,Real Estate,India,False,M
Gustavo Denegri & family,89,2154.29,Healthcare,Italy,True,M
Vladislav Filev & family,62,2153.12,Service,Russia,True,M
Richard Saghian,44,2149.0,Fashion & Retail,United States,True,M
Koh Wee Meng,62,2148.53,Real Estate,Singapore,True,M
Petter Stordalen & family,63,2147.65,Service,Norway,True,M
Anurang Jain,64,2146.88,Manufacturing,India,True,M
Karl-Johan Persson,51,2146.4,Fashion & Retail,Sweden,False,M
Marek Dospiva,56,2145.63,Finance & Investments,Czech Republic,True,M
Ibrahim Al Muhaidib,39,2144.75,Real Estate,Saudi Arabia,False,M
Liang Guangwei,62,2142.92,Manufacturing,China,True,M
Hisao Nagata,69,2142.2,Fashion & Retail,Japan,False,M
Evan Spiegel,35,2140.26,Technology,United States,True,M
John Liew,58,2138.8,Finance & Investments,United States,True,M
Alex Birkenstock,57,2137.35,Fashion & Retail,Germany,False,M
Mustafa Kucuk,62,2136.69,Fashion & Retail,Turkey,True,M
Wong Man Li,61,2135.6,Manufacturing,Hong Kong,True,M
Nicholas Pritzker,82,2131.42,Finance & Investments,United States,False,M
Li Jianli,53,2130.84,Manufacturing,China,True,M
Gao Yunfeng,59,2126.77,Manufacturing,China,True,M
Vasily Anisimov,74,2125.0,Metals & Mining,Croatia,True,M
Solina Chau,64,2120.01,Finance & Investments,Hong Kong,True,F
Tong Yongsheng & family,61,2118.29,Manufacturing,China,True,M
Ilkka Herlin,67,2117.97,Manufacturing,Finland,False,M
Tim Draper,67,2117.59,Finance & Investments,United States,False,M
Simon Nixon,58,2114.85,Technology,United Kingdom,True,M
Archie Hwang,73,2111.72,Technology,Singapore,True,M
Gideon Hamburger,81,2109.87,Finance & Investments,Israel,False,M
Nurit Manor,73,2109.87,Finance & Investments,Israel,False,F
Yair Hamburger,79,2109.87,Finance & Investments,Israel,False,M
Ni Zugen,69,2107.0,Manufacturing,China,True,M
Ishay Davidi,64,2105.55,Finance & Investments,Israel,True,M
Athanasios Martinos & family,76,2104.6,Logistics,Greece,True,M
Manuel Arango Arias,90,2104.0,Fashion & Retail,Mexico,True,M
Pavel Baudis,65,2103.64,Technology,Czech Republic,True,M
Anthony Casalena,43,2102.0,Technology,United States,True,M
Ye Guofu,48,2101.18,Fashion & Retail,China,True,M
Andy Konwinski,42,2100.0,Technology,United States,True,M
Aravind Srinivas,31,2100.0,Technology,India,True,M
Denis Yarats,38,2100.0,Technology,United States,True,M
Guillermo Rauch,35,2100.0,Technology,United States,True,M
Johnny Ho,65,2100.0,Technology,United States,True,M
Manfredi Lefebvre d'Ovidio & family,72,2099.68,Service,Italy,False,M
Michael Heine,76,2098.8,Finance & Investments,Australia,True,M
Solomon Lew,81,2098.34,Fashion & Retail,Australia,True,M
Walter Wang,61,2098.06,Manufacturing,United States,False,M
Manuel Lao Hernández & family,81,2097.72,Gambling & Casinos,Spain,True,M
Mohammed Dewji,50,2093.97,Diversified,Tanzania,False,M
John Bloor,82,2091.18,Diversified,United Kingdom,True,M
Alberto Cortina,80,2090.48,Finance & Investments,Spain,True,M
Wee Ee Chao,70,2089.24,Finance & Investments,Singapore,False,M
Radha Vembu,53,2088.89,Technology,India,False,F
Larry Connor,76,2087.94,Real Estate,United States,True,M
Leonie Baldock,54,2082.72,Metals & Mining,Australia,False,F
Paolo Bulgari,88,2079.82,Fashion & Retail,Italy,False,M
Binod Chaudhary,71,2077.33,Diversified,Nepal,False,M
Scott Nuttall,53,2074.77,Finance & Investments,United States,True,M
B. Wayne Hughes Jr,66,2073.18,Real Estate,United States,False,M
Abdullah Amer Al Nahdi,65,2070.86,Healthcare,Saudi Arabia,True,M
Doug Ostrover,63,2069.64,Finance & Investments,United States,True,M
Robin Khuda,46,2066.44,Technology,Australia,True,M
Michael Hsing,65,2065.52,Technology,United States,True,M
Jack Cogen,70,2064.56,Technology,United States,True,M
Bernhard Braun-Luedicke,49,2063.57,Healthcare,Germany,False,M
Eva Maria Braun-Luedicke,39,2063.57,Healthcare,Germany,False,F
Friederike Braun-Luedicke,42,2063.57,Healthcare,Germany,False,F
Alberto Alcocer,83,2061.65,Finance & Investments,Spain,True,M
Luiz Frias,63,2059.55,Media & Entertainment,Brazil,False,M
Angela Leong,65,2058.56,Real Estate,Hong Kong,False,F
Chu Mang Yee & family,66,2058.0,Real Estate,China,True,M
Chung Yong-ji,56,2057.74,Healthcare,South Korea,True,M
Wang Miaotong,68,2057.52,Automotive,China,True,M
Liesel Pritzker Simmons,42,2054.16,Diversified,United States,False,F
An Kang,77,2052.97,Healthcare,China,True,M
Dominika Kulczyk,48,2052.29,Finance & Investments,Poland,False,F
Wichai Thongtang,79,2051.64,Finance & Investments,Thailand,True,M
Nihat Ozdemir,76,2050.5,Diversified,Turkey,True,M
Sezai Bacaksiz,76,2050.5,Diversified,Turkey,True,M
Hamdi Akin & family,71,2049.74,Diversified,Turkey,True,M
Narendrakumar Parekh,88,2049.37,Manufacturing,India,False,M
Andres Santo Domingo,47,2049.08,Food & Beverage,United States,False,M
Herbert Allen Jr & family,86,2046.41,Finance & Investments,United States,False,M
Ajay Parekh,68,2045.39,Manufacturing,India,False,M
Matthew Roszak,53,2044.81,Finance & Investments,United States,True,M
Serge Godin,76,2043.55,Technology,Canada,True,M
Prem Kumar Arora,87,2043.21,Healthcare,India,False,M
J. Frank Harrison III & family,71,2043.14,Food & Beverage,United States,False,M
Gao Mingqing,73,2042.46,Metals & Mining,China,True,M
Tom Persson,41,2042.36,Fashion & Retail,Sweden,False,M
G. Rajendran,83,2042.18,Fashion & Retail,India,True,M
Alex Bouaziz,32,2040.0,Technology,France,True,M
Shuo Wang,37,2040.0,Technology,United States,True,F
Randal J. Kirk,72,2039.86,Healthcare,United States,True,M
John Abele & family,89,2039.0,Healthcare,United States,True,M
Zhang Jingzhang & family,90,2038.43,Manufacturing,China,True,M
Lee Chae-yoon,75,2037.55,Technology,South Korea,True,M
Tom Werner,76,2036.43,Sports,United States,True,M
Vadim Yakunin,63,2036.04,Healthcare,Russia,True,M
Per Sandberg,64,2035.96,Healthcare,Sweden,False,M
Raj Sardana,66,2033.9,Technology,United States,True,M
Guilherme Benchimol,49,2033.26,Finance & Investments,Brazil,True,M
Pantaleo Dell'Orco,73,2032.28,Fashion & Retail,Italy,False,M
Ilona Herlin,61,2031.27,Manufacturing,Finland,False,F
Robert Fisher,72,2031.06,Fashion & Retail,United States,False,M
Kim Nam-goo,62,2030.03,Finance & Investments,South Korea,False,M
Ron Corio,64,2029.9,Energy,United States,True,M
Stephen Orenstein & family,62,2029.9,Diversified,United States,False,M
Vikram Punia,53,2029.65,Healthcare,Russia,True,M
Yuri Kovalchuk & family,74,2028.76,Finance & Investments,Russia,True,M
Eugene Kaspersky,60,2027.58,Technology,Russia,True,M
Carmen Daurella Aguilera,69,2026.54,Food & Beverage,Spain,False,F
Wu Shaoxun,70,2026.43,Food & Beverage,China,True,M
Stephane Bonvin,59,2026.35,Real Estate,Switzerland,True,M
Zhao Lixin,60,2022.57,Technology,China,True,M
Aneel Bhusri,60,2021.29,Technology,United States,True,M
Hemendra Kothari,79,2020.82,Finance & Investments,India,False,M
Ian Wood & family,83,2019.7,Energy,United Kingdom,False,M
Mark Coombs,65,2018.36,Finance & Investments,United Kingdom,True,M
Gavril Yushvaev & family,68,2016.28,Finance & Investments,Russia,True,M
Jitendra Virwani,60,2016.15,Real Estate,India,False,M
Charlotte Soderstrom,49,2014.65,Fashion & Retail,Sweden,False,F
P.V. Krishna Reddy,56,2013.09,Construction & Engineering,India,True,M
Avram Glazer,65,2011.0,Sports,United States,False,M
Bryan Glazer,61,2011.0,Sports,United States,False,M
Darcie Glazer Kassewitz,57,2011.0,Sports,United States,False,F
Edward Glazer,56,2011.0,Sports,United States,False,M
Joel Glazer,59,2011.0,Sports,United States,False,M
Kevin Glazer,64,2011.0,Sports,United States,False,M
Husnu Ozyegin,81,2010.85,Finance & Investments,Turkey,True,M
Bill Gross,82,2009.47,Finance & Investments,United States,True,M
David Walentas,87,2007.33,Real Estate,United States,True,M
Liu Zhenfeng,64,2006.87,Manufacturing,China,True,M
Taylor Swift,36,2006.5,Media & Entertainment,United States,True,F
Zhao Tao,60,2006.49,Healthcare,Singapore,False,M
Hao Hong,70,2004.71,Healthcare,United States,True,M
David Kabiller,62,2004.0,Finance & Investments,United States,True,M
Yigal Dimri,70,2003.21,Construction & Engineering,Israel,True,M
Clark Hunt & family,61,2000.4,Sports,United States,False,M
Daniel Hunt & family,49,2000.4,Sports,United States,False,M
Lamar Hunt Jr & family,69,2000.4,Sports,United States,False,M
Sharron Hunt & family,68,2000.4,Sports,United States,False,F
Joseph 'Pitt'  Reeves Hyde III,83,2000.0,Automotive,United States,False,M
Oren Zeev,61,2000.0,Finance & Investments,Israel,True,M
Gary Chouest & family,81,1999.72,Logistics,United States,False,M
Wang Zhenhua,64,1998.65,Real Estate,China,True,M
Michael Ashcroft,80,1997.12,Finance & Investments,United Kingdom,True,M
David Lichtenstein,64,1996.61,Real Estate,United States,True,M
