name,age,net_worth_million_usd,industries,country,self_made,gender
Zhu Jiangming,59,1273.52,Manufacturing,China,True,M
Ma Hong,55,1272.85,Manufacturing,China,True,M
Peng Qian,51,1270.29,Manufacturing,China,True,M
Elizabeth Sy,73,1268.35,Diversified,Philippines,False,F
Timothy Headington,76,1267.28,Energy,United States,False,M
Wu Kaiting,56,1263.91,Telecom,Hong Kong,True,M
Yuan Zhimin & family,65,1262.99,Manufacturing,China,True,M
Lu Bin,65,1261.51,Manufacturing,China,True,M
John Coustas,69,1260.12,Logistics,Greece,False,M
Wang Baoqing,68,1260.05,Manufacturing,China,True,M
Roman Avdeev,58,1260.0,Finance & Investments,Russia,True,M
Grigory Anikeev,54,1259.08,Food & Beverage,Russia,True,M
He Zuxun,60,1258.94,Food & Beverage,China,True,M
Tianqiao Chen,52,1258.51,Technology,China,True,M
Arthur Levine,74,1257.0,Finance & Investments,United States,True,M
Lauren Leichtman,76,1257.0,Finance & Investments,United States,True,F
Taavet Hinrikus,43,1254.7,Finance & Investments,Estonia,True,M
Joe Kiani,61,1254.12,Healthcare,United States,True,M
Gregory Bentley & family,70,1253.13,Technology,United States,True,M
Ruben Vardanyan & family,57,1252.37,Finance & Investments,Armenia,True,M
Mohammed Ibrahim,79,1251.0,Telecom,United Kingdom,True,M
Dieter Müller,71,1250.29,Real Estate,Germany,True,M
James Jannard,76,1250.0,Fashion & Retail,United States,True,M
Jiang Zhaobai,62,1248.6,Real Estate,China,True,M
Derek Stevens,58,1248.23,Gambling & Casinos,United States,False,M
Kazim Turker,72,1247.86,Energy,Turkey,True,M
Nancy Lerner,65,1247.01,Finance & Investments,United States,False,F
Lim Kaling,62,1246.28,Media & Entertainment,Singapore,True,M
Cheng Zhangwen,61,1246.17,Manufacturing,China,True,M
Wu Zhongyi,52,1244.38,Technology,China,True,M
Li Guoqing,56,1242.28,Manufacturing,China,True,M
Randolph Lerner,64,1241.27,Finance & Investments,United States,False,M
Habil Khorakiwala,83,1240.01,Healthcare,India,False,M
Norma Lerner,90,1239.92,Finance & Investments,United States,False,F
Kamlesh Jain,57,1238.82,Metals & Mining,India,True,M
Jitendra Mohan,52,1238.73,Technology,United States,True,M
Holger Timm,69,1238.61,Finance & Investments,Germany,True,M
Rick Smith,55,1238.29,Technology,United States,True,M
Zhou Wen & family,61,1237.91,Manufacturing,China,True,M
Xi Chao,67,1237.88,Manufacturing,China,True,M
